name,PC1,PC2
1000SATSUSDT.csv,-0.16694462879917427,0.13221501385302137
1000SATSUSDT.csv,-0.16738998300609398,0.257924678174333
1000SATSUSDT.csv,-0.16710830054302944,0.17841680900578896
1000SATSUSDT.csv,-0.16752307758486482,0.2954939657766459
1000SATSUSDT.csv,-0.16708125889371886,0.1707839202483545
1000SATSUSDT.csv,-0.16775317354378746,0.3604436239780378
1000SATSUSDT.csv,-0.1673436179010903,0.24484150915171168
1000SATSUSDT.csv,-0.16701626522541727,0.15244133128026427
1000SATSUSDT.csv,-0.16736755720681484,0.25159783306355976
1000SATSUSDT.csv,-0.16697093983844816,0.13964587199211387
1000SATSUSDT.csv,-0.1670084844431103,0.1502422599056305
1000SATSUSDT.csv,-0.16696239681398112,0.13723345518320115
1000SATSUSDT.csv,-0.16686836274473038,0.1106923072574348
1000SATSUSDT.csv,-0.1667136443317007,0.06702018937606366
1000SATSUSDT.csv,-0.16686359599863534,0.1093441331848029
1000SATSUSDT.csv,-0.1668277286083747,0.09921851925623247
1000SATSUSDT.csv,-0.1670371816193427,0.15834040645722158
1000SATSUSDT.csv,-0.16730674181251562,0.23442789769348077
1000SATSUSDT.csv,-0.16722860557981972,0.212374367519686
1000SATSUSDT.csv,-0.16707904696391282,0.17015905477202742
1000SATSUSDT.csv,-0.1667424905731494,0.07516030652805442
1000SATSUSDT.csv,-0.1666922642157136,0.060982621801125
1000SATSUSDT.csv,-0.16665266485075514,0.049804264372788606
1000SATSUSDT.csv,-0.1667957407136237,0.09019084152081218
1INCHUSDT.csv,-0.16614061125318916,-0.06441866525280994
1INCHUSDT.csv,-0.1661412950706395,-0.06441813750138425
1INCHUSDT.csv,-0.1661415933437658,-0.06441908131382401
1INCHUSDT.csv,-0.16613232874322903,-0.06429722214103656
1INCHUSDT.csv,-0.1661244845349902,-0.06437505611934712
1INCHUSDT.csv,-0.16613022560807514,-0.06438469887296791
1INCHUSDT.csv,-0.16612963361414232,-0.06440360540894864
1INCHUSDT.csv,-0.16613180327303884,-0.06440827047162034
1INCHUSDT.csv,-0.16612902379557487,-0.06440383848660897
1INCHUSDT.csv,-0.1661270598533701,-0.06441188910461888
1INCHUSDT.csv,-0.1661311161403137,-0.06440840249607452
1INCHUSDT.csv,-0.16613104317295824,-0.06441133448645261
1INCHUSDT.csv,-0.1661258485034504,-0.06439518715019195
1INCHUSDT.csv,-0.16612527578456487,-0.06441709068849705
1INCHUSDT.csv,-0.16613052518912938,-0.06441361242341112
1INCHUSDT.csv,-0.1661368148335862,-0.06439909110689289
1INCHUSDT.csv,-0.16613716822666072,-0.06441134924248793
1INCHUSDT.csv,-0.16613432713136247,-0.06440812740532674
1INCHUSDT.csv,-0.16612624329243797,-0.06439835093383389
1INCHUSDT.csv,-0.16612150455619543,-0.06440189952934561
1INCHUSDT.csv,-0.16611687026188993,-0.06441330007498908
1INCHUSDT.csv,-0.1661176049104573,-0.06440929395454881
