Date,Open,High,Low,Close,Volume
2024-09-01,0.08015,0.08069,0.0758,0.0763,17756023.0
2024-09-02,0.07622,0.0847,0.0761,0.08324,45537006.0
2024-09-03,0.08323,0.08455,0.07875,0.07896,34885541.0
2024-09-04,0.07903,0.08297,0.07496,0.08147,24966049.0
2024-09-05,0.08144,0.08233,0.07735,0.07841,16349233.0
2024-09-06,0.07836,0.08042,0.07312,0.07621,27362325.0
2024-09-07,0.07615,0.07825,0.07587,0.07686,11402883.0
2024-09-08,0.07681,0.08168,0.07637,0.08122,28057353.0
2024-09-09,0.08125,0.08585,0.08057,0.08414,43808842.0
2024-09-10,0.08416,0.09374,0.08242,0.0924,87618952.0
2024-09-11,0.09245,0.10299,0.0881,0.09742,145015175.0
2024-09-12,0.09742,0.10229,0.09701,0.10091,72910638.0
2024-09-13,0.10092,0.11822,0.0982,0.11336,123187077.0
2024-09-14,0.11338,0.12002,0.10668,0.11286,153550955.0
2024-09-15,0.11282,0.11589,0.11083,0.11316,63910307.0
2024-09-16,0.11313,0.11416,0.10402,0.10579,58556873.0
2024-09-17,0.1058,0.11,0.10242,0.1049,67716672.0
2024-09-18,0.10491,0.10701,0.10056,0.10596,47454547.0
2024-09-19,0.10611,0.11469,0.10523,0.10886,57911645.0
2024-09-20,0.10887,0.13248,0.1082,0.12471,175843956.0
2024-09-21,0.12473,0.13116,0.12206,0.12553,60979253.0
2024-09-22,0.12551,0.12554,0.11659,0.12088,42181234.0
2024-09-23,0.12088,0.12868,0.11756,0.12734,47185078.0
2024-09-24,0.12775,0.13197,0.12238,0.12504,47064951.0
