Date,Open,High,Low,Close,Volume
2024-09-01,0.5094,0.517,0.491,0.4985,1435740.52
2024-09-02,0.498,0.5617,0.4966,0.5438,7240080.58
2024-09-03,0.5439,0.729,0.5418,0.6082,33625958.48
2024-09-04,0.6078,0.625,0.5727,0.5857,14370313.93
2024-09-05,0.5854,0.596,0.5371,0.5436,6203502.38
2024-09-06,0.5437,0.5566,0.5099,0.5306,6291475.08
2024-09-07,0.5304,0.5533,0.5231,0.5347,2555316.15
2024-09-08,0.5351,0.597,0.5332,0.5803,8703255.36
2024-09-09,0.5801,0.5851,0.5409,0.5781,5743202.83
2024-09-10,0.5782,0.5798,0.5624,0.5718,2481527.94
2024-09-11,0.5721,0.6059,0.5652,0.59,8915621.88
2024-09-12,0.5901,0.6012,0.5684,0.5935,4404613.48
2024-09-13,0.5941,0.6118,0.5735,0.6055,4554534.34
2024-09-14,0.6057,0.6405,0.5942,0.633,4207745.9
2024-09-15,0.6326,0.634,0.5816,0.5848,2982109.9
2024-09-16,0.5847,0.5877,0.5573,0.5651,2712846.03
2024-09-17,0.5646,0.597,0.5589,0.5895,1988357.45
2024-09-18,0.5894,0.6172,0.5734,0.6165,2884635.85
2024-09-19,0.6172,0.6318,0.6105,0.6184,3682850.06
2024-09-20,0.6185,0.6453,0.6063,0.6222,3795957.27
2024-09-21,0.6218,0.6468,0.611,0.6441,2104111.04
2024-09-22,0.6438,0.6445,0.595,0.6135,1717172.42
2024-09-23,0.6133,0.6448,0.5994,0.6347,3027766.16
2024-09-24,0.6348,0.6479,0.6159,0.6465,2340760.96
